id,card_number,venue,venue_label,position,difficulty,success_condition,text,success_text,char_count,tier,print_position,family_safe,timed,duration_seconds,flags
"P01-CL-1",1,"comedy_lounge","Comedy Lounge",1,1,"vote","Tell a joke about the person to your left. Must have a setup and a punchline. Does not have to be good.","At least half the table laughs, groans, or boos appreciatively.",103,"core",1,true,false,,""
"P01-CL-2",1,"comedy_lounge","Comedy Lounge",2,2,"vote","Tell a knock-knock joke — made up on the spot. No classics. No ""interrupting cow.""","Punchline lands — groan, laugh, or eye-roll accepted. Silence is a fail.",82,"core",2,true,false,,""
"P01-CL-3",1,"comedy_lounge","Comedy Lounge",3,2,"vote","Deliver this setup deadpan, pause three seconds, then give your punchline: ""I told my family I wanted to be a comedian for Christmas...""","Majority decides if the punchline was worth the wait.",136,"expansion",,true,false,,"EXPANSION"
"P01-CL-4",1,"comedy_lounge","Comedy Lounge",4,3,"vote","Roast the player to your right in exactly three sentences. Must be affectionate. Third sentence must be a compliment disguised as an insult.","The roasted player casts the deciding vote.",140,"core",3,true,false,,""
"P01-TC-1",1,"the_club","The Club",1,1,"objective","Sing ""Happy Birthday"" — replace ""Happy Birthday"" with ""Merry Christmas"" and the name with the player to your left. Full song.","All four lines delivered without stopping. Key irrelevant.",125,"core",1,true,false,,""
"P01-TC-2",1,"the_club","The Club",2,2,"objective","Improvise a four-line rhyming poem about what's on the Christmas table right now. Lines 1 & 3 rhyme. Lines 2 & 4 rhyme. 30 seconds to compose, then perform.","Four lines delivered, two rhyme pairs land. Near-rhymes accepted.",156,"core",2,true,false,,""
"P01-TC-3",1,"the_club","The Club",3,2,"objective","Someone names any Australian animal. Sing a jingle — at least three lines — advertising that animal as a Christmas gift. Your choice of tune.","Three lines completed, tune maintained, animal mentioned at least twice.",141,"expansion",,true,false,,"EXPANSION"
"P01-TC-4",1,"the_club","The Club",4,3,"objective","Player to your left gives you a word. Perform an improvised rap — at least six lines — ending with a rhyme on that word. No pause longer than three seconds.","Six lines delivered, final rhyme lands, no stop longer than three seconds.",156,"core",3,true,false,,""
"P01-RS-1",1,"royal_show","The Royal Show",1,1,"objective","Mime unwrapping a Christmas present. The gift inside is the most disappointing thing imaginable. React accordingly. 20 seconds.","Table identifies both the unwrapping and the disappointment without being told. No words.",127,"core",1,true,true,20,""
"P01-RS-2",1,"royal_show","The Royal Show",2,2,"objective","Perform a 15-second acceptance speech for ""Best Performer at the Royal Show"" — mime holding a trophy the entire time, getting progressively heavier.","Trophy mime maintained throughout, weight progression visible.",148,"core",2,true,true,15,""
"P01-RS-3",1,"royal_show","The Royal Show",3,2,"named_judge","Mime a galah who has just been told it cannot have a cracker. No words, no sounds.","Named judge confirms emotion and animal are both readable.",82,"expansion",,true,false,,"EXPANSION COND-OVERRIDE"
"P01-RS-4",1,"royal_show","The Royal Show",4,3,"objective","Mime a 30-second sideshow spruiker's pitch for the most useless product you can think of. Demonstrate the product, show its key feature, indicate the price. No words. No sounds.","Table identifies the product and at least one feature without being told.",177,"core",3,true,true,30,""
"P01-SP-1",1,"school_play","The School Play",1,1,"named_judge","Deliver this line in the most dramatic accent you can manage — announce your accent first: ""I'm afraid the turkey is going to be at least another forty-five minutes.""","Named judge confirms accent is recognisable and drama is committed.",166,"core",1,true,false,,""
"P01-SP-2",1,"school_play","The School Play",2,2,"named_judge","Perform a 20-second scene: you are a first-time actor who has just forgotten all their lines at the school play. Stay in character. Scene ends when you ""remember"" your line and deliver it.","Named judge confirms character held and ending landed.",188,"core",2,true,true,20,""
"P01-SP-3",1,"school_play","The School Play",3,2,"named_judge","Player to your right gives you an emotion. Player to your left gives you a location. Deliver this line combining both — one attempt only: ""I can't believe it's come to this.""","Named judge confirms both emotion and location are readable.",174,"expansion",,true,false,,"EXPANSION"
"P01-SP-4",1,"school_play","The School Play",4,3,"named_judge","Perform a 30-second scene: you are an extremely pretentious theatre director giving notes to the table after watching their ""performance."" Give specific feedback to at least two players by name.","Named judge confirms pretension is sustained and two players were addressed.",194,"core",3,true,true,30,""
"P02-CL-1",2,"comedy_lounge","Comedy Lounge",1,1,"vote","Point at any player. Tell a one-liner about their outfit right now. Must have a punchline.","The targeted player confirms it landed — laugh, groan, or eye-roll counts.",90,"core",1,true,false,,""
"P02-CL-2",2,"comedy_lounge","Comedy Lounge",2,2,"vote","Choose any player. Do a one-minute stand-up bit as if they are the subject — their habits, their quirks, their Christmas behaviour. Keep it warm.","The targeted player must be recognisable. Majority decides.",145,"core",2,true,true,60,""
"P02-CL-3",2,"comedy_lounge","Comedy Lounge",3,2,"vote","Tell a two-sentence joke that begins: ""The thing about [player to your right] is..."" Setup in sentence one, punchline in sentence two.","Majority decides if the punchline landed.",134,"expansion",,true,false,,"EXPANSION"
"P02-CL-4",2,"comedy_lounge","Comedy Lounge",4,3,"vote","Deliver a full 45-second comedy eulogy for the player to your left — as if they have just retired from Christmas dinners forever. Affectionate. At least two specific ""memories.""","The eulogised player casts the deciding vote.",177,"core",3,false,true,45,""
"P02-TC-1",2,"the_club","The Club",1,1,"objective","Sing the first verse of ""We Wish You a Merry Christmas"" — but replace ""we"" with the name of the player to your right throughout.","Full verse completed, name substituted correctly every time.",128,"core",1,true,false,,""
"P02-TC-2",2,"the_club","The Club",2,2,"objective","Player to your left hums any tune. You must sing four lines of improvised lyrics over it. Any topic.","Four lines delivered over the tune without stopping.",100,"core",2,true,false,,""
"P02-TC-3",2,"the_club","The Club",3,2,"objective","Compose and perform a four-line birthday song for any player at the table — even if it's not their birthday. Must include their name and one specific true fact about them.","Name used, fact included, four lines completed.",171,"expansion",,true,false,,"EXPANSION"
"P02-TC-4",2,"the_club","The Club",4,3,"vote","Perform a 30-second musical argument — sung, not spoken — with the player to your right. You start. They may respond. You must resolve it in harmony.","Majority decides if the argument was musical and the resolution landed.",149,"core",3,true,true,30,"COND-OVERRIDE"
"P02-RS-1",2,"royal_show","The Royal Show",1,1,"objective","Mime taking a photo of the player to your left as if they are the most fascinating thing you have ever seen. 15 seconds.","Camera action and fascination both readable without words.",120,"core",1,true,true,15,""
"P02-RS-2",2,"royal_show","The Royal Show",2,2,"objective","Mime teaching the player to your right how to do something they obviously already know how to do — very slowly and very condescendingly. 20 seconds. No words.","Activity and condescension both readable.",158,"core",2,true,true,20,""
"P02-RS-3",2,"royal_show","The Royal Show",3,2,"named_judge","Mime a talent show audition in which you are desperately trying to impress the player to your left, who is the judge. 20 seconds. No words.","The judge confirms they felt the desperation.",139,"expansion",,true,true,20,"EXPANSION COND-OVERRIDE"
"P02-RS-4",2,"royal_show","The Royal Show",4,3,"objective","Mime an entire argument — with a full beginning, escalation, and resolution — directed at the player across from you. No words, no sounds. 30 seconds.","Table identifies the argument, escalation, and resolution without being told.",150,"core",3,true,true,30,""
"P02-SP-1",2,"school_play","The School Play",1,1,"named_judge","Deliver this line to the player to your left, in a dramatic accent of your choice: ""I always knew it would come to this between us.""","Named judge confirms accent held and drama committed.",132,"core",1,true,false,,""
"P02-SP-2",2,"school_play","The School Play",2,2,"named_judge","Player to your right gives you one word. Deliver a 20-second dramatic monologue to the player to your left using that word as the theme. Stay in character throughout.","Named judge confirms monologue and character both held.",166,"core",2,true,true,20,""
"P02-SP-3",2,"school_play","The School Play",3,2,"named_judge","Perform a 20-second scene in which you are meeting the player to your right for the very first time — but you are absolutely certain you have met before. They may respond.","Named judge confirms commitment to the mistaken identity.",171,"expansion",,true,true,20,"EXPANSION"
"P02-SP-4",2,"school_play","The School Play",4,3,"named_judge","Perform a 40-second farewell speech to the player across from you — in character as a Shakespearean villain who has just lost everything. Name them at least twice.","Named judge confirms character, commitment, and both name uses.",163,"core",3,false,true,40,""
"P03-CL-1",3,"comedy_lounge","Comedy Lounge",1,1,"vote","Tell a Christmas cracker joke — but it must be one you have made up right now. Not a real one. Not a good one. Just yours.","Groan, laugh, or pained silence all count. Blank stares do not.",122,"core",1,true,false,,""
"P03-CL-2",3,"comedy_lounge","Comedy Lounge",2,2,"vote","Go around the table. Each player gives you one word. Use all of them in a single joke. Setup and punchline. You have 30 seconds to compose, then deliver.","All words used. Punchline attempted. Majority decides.",153,"core",2,true,false,,""
"P03-CL-3",3,"comedy_lounge","Comedy Lounge",3,2,"vote","Deliver a 30-second stand-up bit about this specific Christmas dinner — what's on the table, who's here, what's already gone wrong. At least two observations.","Two recognisable observations land. Majority decides.",158,"expansion",,true,true,30,"EXPANSION"
"P03-CL-4",3,"comedy_lounge","Comedy Lounge",4,3,"vote","Perform a 45-second crowd work set. Address at least three players by name with a specific observation about each. No prepared material — everything must be about this table, right now.","Three players addressed, three observations recognisable. Majority decides.",185,"core",3,true,true,45,""
"P03-TC-1",3,"the_club","The Club",1,1,"objective","Lead the whole table in one verse of ""Jingle Bells."" You conduct. Everyone sings.","Full verse completed with the table. You must conduct throughout.",81,"core",1,true,false,,""
"P03-TC-2",3,"the_club","The Club",2,2,"objective","Compose and perform a four-line rhyming toast to the table. Must mention Christmas, must end with something to drink to. 30 seconds to compose.","Four lines, rhyme pairs land, toast delivered.",143,"core",2,true,false,,""
"P03-TC-3",3,"the_club","The Club",3,2,"objective","Perform a 20-second jingle advertising this exact gathering — who's here, what you're eating, why it's unmissable. Your choice of tune.","Gathering described, tune maintained, 20 seconds reached.",135,"expansion",,true,true,20,"EXPANSION"
"P03-TC-4",3,"the_club","The Club",4,3,"vote","Teach the table a round — at least two parts — of any song, real or invented. Table must be able to join in. 60 seconds total including teaching time.","At least half the table joins in. Majority decides if it worked.",150,"core",3,true,true,60,"COND-OVERRIDE"
"P03-RS-1",3,"royal_show","The Royal Show",1,1,"objective","Mime that you have just discovered something extraordinary under the table. React. Show the table what it is without words. 15 seconds.","Table identifies the discovery and the reaction without being told.",135,"core",1,true,true,15,""
"P03-RS-2",3,"royal_show","The Royal Show",2,2,"objective","Mime a sideshow game that the whole table can play simultaneously — set it up, demonstrate it, invite them in. No words. 20 seconds.","Game is identifiable, invitation is clear, majority attempt to play.",132,"core",2,true,true,20,""
"P03-RS-3",3,"royal_show","The Royal Show",3,2,"objective","Mime conducting the table as an orchestra. Each player is a different instrument — assign them silently. 20 seconds.","Each player receives an instrument assignment. Conducting is sustained.",116,"expansion",,true,true,20,"EXPANSION"
"P03-RS-4",3,"royal_show","The Royal Show",4,3,"objective","Perform a 30-second mime in which you are a TV chef presenting this exact Christmas meal to a live studio audience — the table. No words. React to their responses.","Meal, chef character, and audience interaction all readable.",163,"core",3,true,true,30,""
"P03-SP-1",3,"school_play","The School Play",1,1,"named_judge","Deliver this line to the whole table as if making a major announcement at a school assembly: ""I have something very important to tell you all."" Then pause. Then improvise the announcement.","Named judge confirms announcement was committed and delivered in character.",188,"core",1,true,false,,""
"P03-SP-2",3,"school_play","The School Play",2,2,"named_judge","Perform a 20-second scene: you are the narrator of a nature documentary, and the table is the wildlife. Describe what you observe. At least two players must be mentioned.","Named judge confirms narrator character held and two players described.",170,"core",2,true,true,20,""
"P03-SP-3",3,"school_play","The School Play",3,2,"named_judge","Player to your left names an emotion. Deliver the following line to the whole table expressing that emotion completely: ""Right. Who's ready for dessert?"" One attempt only.","Named judge confirms emotion is readable and commitment is total.",171,"expansion",,true,false,,"EXPANSION"
"P03-SP-4",3,"school_play","The School Play",4,3,"named_judge","Perform a 40-second scene: you are a motivational speaker addressing the table at a corporate retreat. This Christmas dinner is the team-building exercise. At least three players must be addressed by name.","Named judge confirms character, commitment, and three name uses.",205,"core",3,true,true,40,""
"P04-CL-1",4,"comedy_lounge","Comedy Lounge",1,1,"vote","Tell a joke with a deliberately terrible pun as the punchline. Announce the pun proudly. Own it completely.","Majority confirms the pun was truly terrible and fully committed to.",107,"core",1,true,false,,""
"P04-CL-2",4,"comedy_lounge","Comedy Lounge",2,2,"vote","Set up a joke. Deliver the setup. Then give the wrong punchline — deliberately. Then give the right one. The wrong punchline must be funnier than the right one.","Majority decides if the wrong punchline was funnier.",160,"core",2,true,false,,""
"P04-CL-3",4,"comedy_lounge","Comedy Lounge",3,2,"vote","Tell a joke so slowly that the table thinks you have forgotten it. You have not forgotten it. Maintain total confidence throughout. Deliver the punchline at your own pace.","Majority decides if the slow delivery made it funnier or just uncomfortable.",171,"expansion",,true,false,,"EXPANSION"
"P04-CL-4",4,"comedy_lounge","Comedy Lounge",4,3,"vote","Perform a 30-second ""anti-joke"" — set up a classic joke structure, then give a completely literal, humourless answer. Then explain, earnestly, why it is actually funny.","Majority decides if the commitment to the bit landed.",168,"core",3,true,true,30,""
"P04-TC-1",4,"the_club","The Club",1,1,"objective","Sing any Christmas song — but swap every noun for the word ""cracker.""","At least one full verse completed, every noun replaced.",69,"core",1,true,false,,""
"P04-TC-2",4,"the_club","The Club",2,2,"objective","Perform a four-line rhyme in which every line ends with a word that almost rhymes but doesn't quite. Commit fully to the near-rhymes.","Four lines completed, near-rhymes confirmed as near but not exact.",133,"core",2,true,false,,""
"P04-TC-3",4,"the_club","The Club",3,2,"objective","Perform a jingle for a product that does not exist — but make it sound completely plausible. At least three lines. Your choice of tune.","Product described, jingle completed, tune maintained.",135,"expansion",,true,false,,"EXPANSION"
"P04-TC-4",4,"the_club","The Club",4,3,"vote","Perform a 30-second song in which you gradually reveal, line by line, an increasingly unlikely Christmas confession. Must build to a finale.","Majority decides if the build and reveal landed.",140,"core",3,true,true,30,"COND-OVERRIDE"
