prompt_id,packet_card_number,packet_number,character,category,venue,position,text,timed,duration_seconds
CL01-1,1,1,Kookaburra (Nev),Comedy Lounge,comedy_lounge,1,Tell a joke about the person to your left. Must have a setup and a punchline. Does not have to be good.,FALSE,
CL01-2,1,1,Kookaburra (Nev),Comedy Lounge,comedy_lounge,2,"Tell a knock-knock joke — made up on the spot. No classics. No ""interrupting cow.""",FALSE,
CL01-3,1,1,Kookaburra (Nev),Comedy Lounge,comedy_lounge,3,"Deliver this setup deadpan, pause three seconds, then give your punchline: ""I told my family I wanted to be a comedian for Christmas...""",FALSE,
CL01-4,1,1,Kookaburra (Nev),Comedy Lounge,comedy_lounge,4,Roast the player to your right in exactly three sentences. Must be affectionate. Third sentence must be a compliment disguised as an insult.,FALSE,
CL01-5,1,1,Kookaburra (Nev),Comedy Lounge,comedy_lounge,5,Point at any player. Tell a one-liner about their outfit right now. Must have a punchline.,FALSE,
CL01-6,1,1,Kookaburra (Nev),Comedy Lounge,comedy_lounge,6,"Choose any player. Do a one-minute stand-up bit as if they are the subject — their habits, their quirks, their Christmas behaviour. Keep it warm.",TRUE,60
CL01-7,1,1,Kookaburra (Nev),Comedy Lounge,comedy_lounge,7,"Tell a two-sentence joke that begins: ""The thing about [player to your right] is..."" Setup in sentence one, punchline in sentence two.",FALSE,
CL01-8,1,1,Kookaburra (Nev),Comedy Lounge,comedy_lounge,8,"Deliver a full 45-second comedy eulogy for the player to your left — as if they have just retired from Christmas dinners forever. Affectionate. At least two specific ""memories.""",TRUE,45
CL02-1,2,2,Cockatoo (Shazza),Comedy Lounge,comedy_lounge,1,Tell a Christmas cracker joke — but it must be one you have made up right now. Not a real one. Not a good one. Just yours.,FALSE,
CL02-2,2,2,Cockatoo (Shazza),Comedy Lounge,comedy_lounge,2,"Go around the table. Each player gives you one word. Use all of them in a single joke. Setup and punchline. You have 30 seconds to compose, then deliver.",FALSE,
CL02-3,2,2,Cockatoo (Shazza),Comedy Lounge,comedy_lounge,3,"Deliver a 30-second stand-up bit about this specific Christmas dinner — what's on the table, who's here, what's already gone wrong. At least two observations.",TRUE,30
CL02-4,2,2,Cockatoo (Shazza),Comedy Lounge,comedy_lounge,4,"Perform a 45-second crowd work set. Address at least three players by name with a specific observation about each. No prepared material — everything must be about this table, right now.",TRUE,45
CL02-5,2,2,Cockatoo (Shazza),Comedy Lounge,comedy_lounge,5,Tell a joke with a deliberately terrible pun as the punchline. Announce the pun proudly. Own it completely.,FALSE,
CL02-6,2,2,Cockatoo (Shazza),Comedy Lounge,comedy_lounge,6,Set up a joke. Deliver the setup. Then give the wrong punchline — deliberately. Then give the right one. The wrong punchline must be funnier than the right one.,FALSE,
CL02-7,2,2,Cockatoo (Shazza),Comedy Lounge,comedy_lounge,7,Tell a joke so slowly that the table thinks you have forgotten it. You have not forgotten it. Maintain total confidence throughout. Deliver the punchline at your own pace.,FALSE,
CL02-8,2,2,Cockatoo (Shazza),Comedy Lounge,comedy_lounge,8,"Perform a 30-second ""anti-joke"" — set up a classic joke structure, then give a completely literal, humourless answer. Then explain, earnestly, why it is actually funny.",TRUE,30
CL03-1,3,3,Quokka (Trev),Comedy Lounge,comedy_lounge,1,Tell a joke about a Christmas tradition you personally find ridiculous. Must have a punchline.,FALSE,
CL03-2,3,3,Quokka (Trev),Comedy Lounge,comedy_lounge,2,Deliver a 20-second stand-up bit defending one genuinely terrible Christmas food as if it is a national treasure. Absolute conviction required.,TRUE,20
CL03-3,3,3,Quokka (Trev),Comedy Lounge,comedy_lounge,3,Tell a joke about Santa Claus that has never been told before. You have 20 seconds to compose it.,FALSE,
CL03-4,3,3,Quokka (Trev),Comedy Lounge,comedy_lounge,4,"Perform a 45-second stand-up bit about the specific horrors of Christmas shopping. Must include a specific product, a specific shop, and a punchline that lands on the last line.",TRUE,45
